id,year,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,hr_gender_true_at,givenage,scenario,model,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,hr_gender_at,bias_hr_gender_at,female,simulation,average_bias_CIF2,average_bias_CIF1
93,1,-.00611419,-.015866358,.96087837,.70686388,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,5,2,0,PH_sex_other,Non_exponential,Approach c- Splines,2000,1000,1000,10,.000091567468,.0032629755,.13764453,.03475786,.00041168823,.00014116701,.066524602,9.3877335,.035933238,48.608604,.94599998,.87,.69697839,-.0030216188,1,nick,.0019447709,-.0010486714
98,1,-.0061147823,-.014426014,.96092284,.71013087,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,5,3,0,PH_sex_other,Non_exponential,Approach d- Splines/Int,2000,801,1000,10,.00019204937,.0004234589,.13764453,.03475786,.00046201717,.00023123604,.13952561,1.2183112,.47590408,117.86253,.75700003,.76300001,.70080411,.00080413884,1,nick,-.00039377931,-.00037233258
103,1,-.0060147122,-.017780626,.9616465,.64539355,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,6,0,0,Non_PH_sex_other,Non_exponential,Approach a- Attained,2000,999,999,10,-.00060029619,.0002923662,.13870513,.031643134,.0004120942,.00010378689,.43278584,.92394823,,,.94700003,.95200002,.64023906,.00058109942,1,nick,.00011150719,-.00034823161
108,1,-.0059306929,-.01745343,.96210843,.75723815,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,6,1,0,Non_PH_sex_other,Non_exponential,Approach b- Linear,2000,1000,999,10,-.0019124744,.022724455,.13870513,.031643134,.0004216579,.0017600213,1.3788058,71.814804,2.3719542,1596.6517,.93699998,.169,.74039322,.10073526,1,nick,.041232135,-.0065339273
113,1,-.0063552465,-.011927682,.95925361,.76877761,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,6,2,0,Non_PH_sex_other,Non_exponential,Approach c- Splines,2000,1000,999,10,-.00094505266,.0063095754,.13870513,.031643134,.00041191321,.00015598342,.68133932,19.939793,.0060927328,50.367229,.94599998,.71399999,.75256568,.11290771,1,nick,.010192265,-.0019303578
118,1,-.0060559846,-.012884083,.96136266,.73465049,-.0047223009,-.017372001,.96707535,.64557886,.63965797,70,6,3,0,Non_PH_sex_other,Non_exponential,Approach d- Splines/Int,2000,787,999,10,-.00069952384,.0028625531,.13870513,.031643134,.0004617935,.00024936182,.50432444,9.0463638,-.53828597,113.25151,.745,.73000002,.72437036,.084712416,1,nick,.0074453801,-.00085711118
123,1,-.0057110195,-.014520215,.96329087,.70834696,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,7,0,1,PH_sex_other,Non_exponential,Approach a- Attained,2000,1000,1000,10,.00082026556,.00026428359,.13764453,.03475786,.00042297953,.0000932693,.5959304,.76035631,,,.95200002,.94700003,.69928581,-.00071415945,1,nick,.00026160461,.0004129177
128,1,-.0053244811,-.020106064,.96601355,.70662439,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,7,1,1,PH_sex_other,Non_exponential,Approach b- Linear,2000,1000,1000,10,-2.0970181e-06,.014653651,.13764453,.03475786,.00042686483,.0013862893,.0015235026,42.159245,.9185518,1386.3296,.95099998,.163,.69485325,-.0051467652,1,nick,.023763331,-.0035451895
133,1,-.0056224642,-.016003408,.96385342,.70546532,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,7,2,1,PH_sex_other,Non_exponential,Approach c- Splines,2000,1000,1000,10,.00066430715,.0033532977,.13764453,.03475786,.00042265723,.00013784874,.48262516,9.6475954,-.076197423,47.796463,.95300001,.87099999,.69580871,-.0041912766,1,nick,.0023418423,-.00024212536
138,1,-.0057004667,-.01457902,.96333516,.7091248,-.0057829022,-.014257275,.95968062,.70912504,.69999999,70,7,3,1,PH_sex_other,Non_exponential,Approach d- Splines/Int,2000,829,1000,10,.00086012279,.00050693,.13764453,.03475786,.00046465686,.00022741586,.62488705,1.4584614,.020780822,122.00323,.787,.78799999,.69994789,-.000052079289,1,nick,9.7457787e-06,.00037630158
